Empresa	Capital	Deuda	Saldo IED
SMC PNEUMATICS BOLIVIA SRL	0	0	1,062199
SABRE INTERNATIONAL LLC BOLIVIA	0	0	1,031221648
INVERSIONES DORMESON BOLIVIA S.A.	0	0	0,967530649
BISA LEASING	0	0	0,79280168
JACHA INTI INDUSTRIAL S.A.	0	0	0,783667765
EPIROC S.A.	0	0	0,782254033
SAMSUNG ELECTRONICS CHILE LDTA. SUC. BOLIVIA	0	0	0,75268445
COMPAÑÍA MINERA AMAZONA BOLIVIA - COMABOL S.A.	0	0	0,73981131
MEDITERRANEAN SHIPPING COMPANY BOLIVIA LTDA.	0	0	0,737906584
CONSTRUCCIONES SEPCON SRL	0	1	0,734926176
FACTURACIÓN INMEDIATA FIMM SRL	0	0	0,665025707
INVERSIONES CREDICORP BOLIVIA S.A.	-3	0	0,664886157
AVANTICA TECHNOLOGIES	0	0	0,377385264
KUEHNE + NAGEL LTDA.	0	0	0,347383063
BIOGENESIS BAGO BOLIVIA S.A.	0	1	0,295696266
EQUANET S.R.L.	0	0	0,22947332
NEXUS TECHNOLOGY BOLIVIA S.A.	0	0	0,12285501
TETRAPACK	0	0	0,11846071
INCLAM S.A. SUCURSAL BOLIVIA	0	0	0,108601566
CONSTRUCCIONES RUBAU SA SUCURSAL BOLIVIA	0	0	0,085888793
OLSA BOLIVIA CORREDORES DE REASEGUROS S.A.	0	0	0,067439028
CSRA BOLIVIA SRL	0	0	0,059408247
SERVICIOS JARDECOM S.A.	0	0	0,050503579
TELEFERICOS DOPPELMAYER BOLIVIA S.A.	1	3	0,027124509
QSI INDUSTRIAL  BOLIVIA S.A.	-2	0	0
ENGELS MERKEL	0	0	0
BANCO PYME ECOFUTURO	0	0	0
GEOLOG MUD LOGGING BOLIVIA LTDA. (NEW 2012)	0	0	-0,006228723
PROINTEC S.A. SUCURSAL BOLIVIA	0	0	-0,14397799
CISNEROS INTERACTIVE BOLIVIA S.R.L.	-1	0	-0,179610186
LA SANTE S.R.L.	0	0	-0,503809353
COMERCIALIZADORA EMASA BOLIVIA S.R.L.	0	0	-0,657393491
IMPORTADORA Y DISTRIBUIDORA INTB SRL	0	0	-0,979217835
REPSOL EXPLORACION ATLAS	0	0	-1,016937
IPSOS APOYO Y OPINION Y MERCADO BOLIVIA S.A.	0	0	-1,663731749
INGENER S.A. SUCURSAL BOLIVIA	0	0	-2,218061146
TSK ELECTRONICA Y ELECTRICIDAD S.A. SUCURSAL BOLIVIA	8	10	-32,37797185
SINOPEC INTERNATIONAL PETROLEUM SERVICE ECUADOR S.A (SUCURSAL BOLIVIA)	-1	2	-87,71327739
